,street_name,amenity_type,count
0,Primera paralela al Este de Piran,parking_entrance,1
1,Praça Bom Jesus,motorcycle_parking,4
2,Avenida San Martín,ferry_terminal,1
3,Alto de la Luna,taxi,1
